Study,Study Participation (low/moderate/high),Study Attrition (low/moderate/high),Prognostic Factor Measurement (low/moderate/high),Outcomes Measurement (low/moderate/high),Study Confounding (low/moderate/high),Statistical Analysis (low/moderate/high),Overall
Ferraro et al. 2024,Low,Low,Low,Low,Low,Low,Low
Ferraro et al. 2023,Low,Low,Low,Low,Low,Low,Low
Thongprayoon et al. 2022,Low,Moderate,Low,Low,Moderate,Low,Low
Mai et al. 2019,Low,Low,Low,Low,Low,Low,Low
Prochaska et al. 2018,Low,Low,Low,Low,Low,Low,Low
Arora et al. 2017,High,High,Moderate,Moderate, High ,High,High
Deng et al. 2017,Low,Low,Low,Low,Low,Low,Low
Doenyas-Barak et al. 2017,High,High,Moderate,Moderate,High,Moderate,High
Doizi et al. 2016,Low,Low,Low,Low,Low,Low,Low
Grases et al. 2015,Moderate,High,Moderate,Moderate,High,High,High
Arrabal-Polo et al. 2015,Low,Low,Low,Low,Moderate,Moderate,Moderate
Perinpam et al. 2015,Low,Moderate,Low,Low,Low,Low,Low
Ma et al. 2014,Low,Low,Low,Low,Low,Moderate,Low
Elkoushy et al. 2014 ,Low,Moderate,Low,Low,Moderate,Moderate,Moderate
Pigna et al. 2013,Moderate,High,Low,Low,Moderate,Moderate,High
Nouvenne et al. 2013,High,Low,Low,Low,Low,Low,High
Arrabal-Polo et al. 2012,Moderate,High,Low,Low,Moderate,Moderate,High
Goodzari et al. 2012,Moderate,High,Moderate,Moderate,High,High,High
Hong et al. 2012,Moderate,Low,Moderate,Moderate,Moderate,Low,Moderate
Sorensen et al. 2011,Low,Moderate,Low,Low,Moderate,Low,Moderate
Duffey et al. 2011,Low,Moderate,Low,Low,Moderate,Low,Moderate
Parvin et al. 2011,Low,Moderate,Low,Low,Low,Low,Low
Maalouf et al. 2010,Low,Low,Low,Low,Low,Low,Low
Semins et al. 2010,Low,Low,Low,Low,Low,Low,Low
Roders et al. 2009,Low,High,Low,Low,High,Moderate,High
Ciacci et al. 2008,Moderate,High,Moderate,Low,High,Moderate,High
Pais et al. 2007,High,High,Low,Low,High,Moderate,High
Stitchantrakul et al. 2007,Moderate,Low,Low,Low,Moderate,Moderate,Moderate
Cameron et al 2006,Low,Low,Low,Low,Low,Low,Low
Taylor et al. 2006,Low,Low,Low,Low,Low,Low,Low
Defoor et al. 2005,Moderate,Moderate,Low,Low,High,High,High
Shah et al. 2005,Moderate,High,Low,Moderate,Low,Low,High
Abate et al. 2004,Moderate,High,Low,Low,Moderate,Low,High
Hunag et al. 2003,Low,High,Low,Low,High,Low,High
Kuo et al. 2003,Moderate,Low,Low,Low,Moderate,Low,Moderate
Ogawa et al. 2003,High,Low,Low,Low,High,Low,High
Kinder et al. 2002 ,Moderate,Moderate,Low,Low,Low,Low,Moderate
Perez-Brayfield et al. 2002,Low,Moderate,Low,Low,Moderate,Moderate,Moderate
Williams et al. 2001,Moderate,High,Low,Moderate,Moderate,Low,Moderate
Mikaye et al. 2001,High,Low,Low,Low,High,High,High
Curhan et al. 2001,Low,Low,Low,Moderate,Moderate,Low,Moderate
Terris et al. 2001,Moderate,Low,Low,Low,High,Moderate,High
Matin et al. 2000,Moderate,Low,Moderate,Moderate,Low,Low,Moderate
Hess et al. 1999,Moderate,High,Moderate,Moderate,High,Low,High
Rodgers et al. 1997,High,High,High,High,High,High,High
Buchholz et al. 1996,High,High,Low,Low,High,Moderate,High
Christie et al. 1996,Moderate,Low,Low,Moderate,High,Moderate,High
Lemann Jr et al. 1996,Moderate,Low,Low,Low,Moderate,Low,Moderate
Erwin et al. 1994,Low,High,Low,Low,High,Low,High
Batailee et al. 1991,Moderate,High,Moderate,Low,Moderate,Low,High
Michelacci et al. 1989,High,High,Low,Low,Moderate,Moderate,High
Stern et al. 1980,High,High,Moderate,Moderate,Low,Moderate,High
Marya et al. 1979,High,High,High,High,High,High,High
Welshman et al 1976,Low,Low,Moderate,Low,Moderate,Low,Moderate
Goldschmied et al. 1975,Moderate,Low,Low,Low,Low,High,High
Welshmanet al. 1975,High,High,Moderate,Moderate,High,Moderate,High
HPFS et al. 40-50,Low,Low,Low,Low,Moderate,Low,Low
HPFS et al. 50-60,Low,Low,Low,Low,Moderate,Low,Low
HPFS et al. 60-70,Low,Low,Low,Low,Moderate,Low,Low
HPFS et al. 70-80,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 40-50,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 50-60,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 60-70,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 70-80,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 40-50,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 50-60,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 60-70,Low,Low,Low,Low,Moderate,Low,Low
NHS et al. 70-80,Low,Low,Low,Low,Moderate,Low,Low